,,,
,,"Monday, 21st November 2022",
,,,
,,,
,,,
,,,
,,,
10:45,Registration & Exhibition,,
,,,
11:50,Dave Barry,Francis Crick Institute,Welcome
,,,
Session 1,Chair: Marie Held,,
12:00,Robert Haase,"DFG Cluster of Excellence ""Physics of Life"", TU Dresden","User-friendly, interactive bio-image analysis workflow design in Napari"
12:30,Pradeep Rajasekhar,Walter and Eliza Hall Institute of Medical Research,napari-lattice: Interactive and modular analysis of lattice lightsheet data
12:45,Josiah Lutton,University of Warwick,MiCellAnnGELo: an open-source VR tool for surface annotation in microscopy
13:00,Patrice Mascalchi,,"Aivia, AI in Image Analysis Made Easy"
13:10,Helen Zenner,,"An introduction to FocalPlane, the microscopy community site hosted by Journal of Cell Science"
13:15,David Stirling,,"Integrated Data Management, Analysis and
Analytics with OMERO Plus"
,,,
13:20,Lunch & Exhibition,,
,,,
Session 2,Chair: Virginie Uhlmann,,
14:35,Estibaliz Gomez de Mariscal,"IGC, Lisbon",Deep learning enabled cellular imaging: making it happen for you
15:05,Thibaut Goldsborough,University of Edinburgh,Deep morphological analysis of single-cell images captured by Imaging Flow Cytometry
15:20,Matt De Vries,Institute of Cancer Research,3D single-cell shape analysis of cancer cells using geometric deep learning
15:35,Delisa Garcia,,Neuron tracing for big data and developments in VisionHub
15:40,Simone Lepper,,JOBS x GA3 = Intuitive feedback microscopy
15:50,Norman Rzepka,,"FAIR sharing, collaboration and annotation with webKnossos and Zarr"
,,,
15:55,Coffee Break,,
,,,
Session 3,Chair: Siân Culley,,
16:20,Kota Miura,University of Heidelberg,In Defence of the Integrity of Bioimage Analysis
,,,
Panel Discussion 1,Chair: Siân Culley,,
16:50,"Colby Benari
Dale Moulding
Helen Zenner ","In2scienceUK
UCL
FocalPlane",What is a bioimage analyst?
,,,
17:35,Flash Talks,,
,,,
18:00,Poster Session & Drinks Reception,,
,,,
20:00,Evening Social,,